Lake Name,Municipality,Geographic Township,MNRF District,Coordinates,Waterbody ID,Fish Species
Cargill Mill Pond,Municipality of Brockton,Greenock,Midhurst,"44.191, -81.252",17-4798-48929,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass']"
Carolyn Creek,City of Mississauga,Toronto,Aurora,"43.586, -79.695",17-6050-48244,"['Coho Salmon', 'Rainbow Trout']"
Carrick Creek,Municipality of South Bruce,Carrick,Midhurst,"44.074, -81.026",17-4973-48846,not available
Carroll Creek,Township of Centre Wellington,Pilkington,Guelph,"43.646, -80.451",17-5444-48311,"['Brook Trout', 'Brown Trout', 'Largemouth Bass', 'Rock Bass', 'White Sucker']"
Carson Lake,Town of South Bruce Peninsula,Amabel,Midhurst,"44.622, -81.259",17-4794-49408,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Yellow Perch']"
Cashore Creek,Township of Georgian Bluffs,Keppel,Midhurst,"44.579, -81.089",17-4934-49383,not available
Catfish Creek,Township of Malahide,Malahide,Aylmer,"42.678, -81.032",17-5000-47217,"['Pumpkinseed', 'Black Crappie', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Northern Pike', 'Coho Salmon', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Crappie', 'White Sucker', 'Yellow Bullhead']"
Cedar Creek,City of Woodstock,Oxford (On Thames),Aylmer,"43.117, -80.746",17-5190-47736,"['Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Cemetery Creek,Municipality of Central Huron,Goderich,Guelph,"43.731, -81.684",17-4450-48423,"['Brook Trout', 'Rainbow Trout']"
Centreville Creek,Municipality of Meaford,St Vincent,Midhurst,"44.62, -80.683",17-5304-49402,not available
Centreville Creek,Town of Caledon,Albion,Aurora,"43.928, -79.832",17-5937-48631,not available
Chesley Lake,Town of South Bruce Peninsula,Amabel,Midhurst,"44.553, -81.224",17-4822-49331,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Chin Creek,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.061, -81.314",17-4737-49865,not available
Clam Lake,Township of Huron-Kinloss,Kinloss,Midhurst,"44.074, -81.409",17-4672-48798,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Clark Creek,Township of Huron-Kinloss,Huron,Midhurst,"44.063, -81.722",17-4400-48812,not available
Clarke's Lake,Township of Chatsworth,Holland,Midhurst,"44.42, -80.733",17-5213-49183,"['Northern Pike', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Clavering Creek,Town of South Bruce Peninsula,Amabel,Midhurst,"44.704, -81.14",17-4828-49531,not available
Clay Creek,Township of St. Clair,Sombra,Aylmer,"42.745, -82.462",17-3800-47339,"['Black Crappie', 'Bluegill', 'Brown Bullhead', 'Common Carp', 'Freshwater Drum', 'Pumpkinseed', 'White Sucker']"
Cold Creek,Township of King,King,Aurora,"43.896, -79.721",17-6031-48595,not available
Coldwater Creek,City of Hamilton,West Flamborough,Guelph,"43.269, -79.927",17-5871-47912,"['Largemouth Bass', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Colpoy's Creek,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.812, -81.125",17-4908-49568,not available
Conestogo Lake,Township of Mapleton,Maryborough,Guelph,"43.706, -80.716",17-5215-48384,"['Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Conestogo River,Township of Woolwich,Woolwich,Guelph,"43.538, -80.486",17-5417-48200,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
